edge,from_node,to_node
1,1,204
2,1,377
3,1,688
4,1,704
5,1,1437
6,2,129
7,2,192
8,2,752
9,2,817
10,2,1275
11,3,509
12,3,1028
13,3,1094
14,3,1459
15,3,1470
16,4,102
17,4,315
18,4,593
19,4,1112
20,4,1380
21,5,25
22,5,771
23,5,819
24,5,968
25,5,1299
26,6,75
27,6,378
28,6,576
29,6,806
30,6,1572
31,7,209
32,7,502
33,7,1000
34,7,1041
35,7,1490
36,8,396
37,8,918
38,8,929
39,8,1255
40,8,1412
41,9,41
42,9,89
43,9,319
44,9,586
45,9,1436
46,10,255
47,10,691
48,10,967
49,10,1134
50,10,1201
51,11,173
52,11,590
53,11,751
54,11,866
55,11,1141
56,12,156
57,12,584
58,12,847
59,12,1575
60,12,1595
61,13,330
62,13,520
63,13,1004
64,13,1429
65,13,1434
66,14,238
67,14,262
68,14,306
69,14,566
70,14,889
71,15,29
72,15,816
73,15,1011
74,15,1105
75,15,1541
76,16,132
77,16,702
78,16,1024
79,16,1085
80,16,1170
81,17,198
82,17,312
83,17,468
84,17,736
85,17,1377
86,18,473
87,18,522
88,18,847
89,18,1061
90,18,1380
91,19,533
92,19,625
93,19,773
94,19,1546
95,19,1589
96,20,392
97,20,833
98,20,1133
99,20,1249
100,20,1330
101,21,216
102,21,436
103,21,552
104,21,1140
105,21,1583
106,22,186
107,22,468
108,22,732
109,22,1037
110,22,1065
111,23,901
112,23,1062
113,23,1247
114,23,1262
115,23,1516
116,24,499
117,24,722
118,24,815
119,24,1006
120,24,1054
121,25,48
122,25,109
123,25,210
124,25,417
125,26,343
126,26,371
127,26,705
128,26,775
129,26,1285
130,27,477
131,27,549
132,27,664
133,27,933
134,27,1059
135,28,221
136,28,243
137,28,530
138,28,687
139,28,1464
140,29,184
141,29,290
142,29,964
143,29,1244
144,30,170
145,30,718
146,30,897
147,30,946
148,30,959
149,31,133
150,31,155
151,31,866
152,31,954
153,31,1407
154,32,237
155,32,472
156,32,1011
157,32,1396
158,32,1482
159,33,314
160,33,537
161,33,660
162,33,722
163,33,1099
164,34,116
165,34,210
166,34,731
167,34,1010
168,34,1158
169,35,203
170,35,474
171,35,780
172,35,1119
173,35,1341
174,36,668
175,36,852
176,36,1149
177,36,1161
178,36,1496
179,37,288
180,37,853
181,37,890
182,37,891
183,37,1453
184,38,52
185,38,299
186,38,483
187,38,927
188,38,1298
189,39,75
190,39,361
191,39,645
192,39,1104
193,39,1587
194,40,42
195,40,480
196,40,586
197,40,701
198,40,1266
199,41,206
200,41,638
201,41,1187
202,41,1222
203,42,431
204,42,453
205,42,1191
206,42,1590
207,43,364
208,43,478
209,43,548
210,43,701
211,43,903
212,44,457
213,44,595
214,44,1161
215,44,1299
216,44,1507
217,45,360
218,45,369
219,45,773
220,45,900
221,45,1398
222,46,166
223,46,871
224,46,934
225,46,987
226,46,1183
227,47,567
228,47,592
229,47,764
230,47,1058
231,47,1518
232,48,447
233,48,1120
234,48,1144
235,48,1176
236,49,386
237,49,436
238,49,685
239,49,966
240,49,1526
241,50,649
242,50,1005
243,50,1032
244,50,1229
245,50,1456
246,51,205
247,51,316
248,51,699
249,51,1391
250,51,1422
251,52,519
252,52,667
253,52,863
254,52,1470
255,53,96
256,53,709
257,53,858
258,53,1278
259,53,1322
260,54,553
261,54,603
262,54,1102
263,54,1188
264,54,1189
265,55,264
266,55,831
267,55,1219
268,55,1418
269,55,1423
270,56,101
271,56,284
272,56,321
273,56,578
274,56,834
275,57,103
276,57,212
277,57,376
278,57,384
279,57,629
280,58,70
281,58,540
282,58,657
283,58,1507
284,58,1550
285,59,501
286,59,544
287,59,714
288,59,748
289,59,860
290,60,66
291,60,128
292,60,375
293,60,1247
294,60,1402
295,61,88
296,61,427
297,61,566
298,61,927
299,61,992
300,62,266
301,62,300
302,62,435
303,62,1163
304,62,1227
305,63,199
306,63,635
307,63,1042
308,63,1085
309,63,1540
310,64,948
311,64,991
312,64,1016
313,64,1389
314,64,1443
315,65,137
316,65,350
317,65,977
318,65,1087
319,65,1224
320,66,1196
321,66,1283
322,66,1344
323,66,1598
324,67,528
325,67,719
326,67,1104
327,67,1202
328,67,1269
329,68,85
330,68,914
331,68,1399
332,68,1522
333,68,1542
334,69,228
335,69,516
336,69,549
337,69,637
338,69,952
339,70,116
340,70,785
341,70,919
342,70,1482
343,71,224
344,71,833
345,71,1027
346,71,1253
347,71,1559
348,72,116
349,72,134
350,72,135
351,72,313
352,72,1005
353,73,205
354,73,469
355,73,1265
356,73,1493
357,73,1585
358,74,135
359,74,750
360,74,1085
361,74,1121
362,74,1473
363,75,89
364,75,219
365,75,703
366,76,109
367,76,701
368,76,985
369,76,1059
370,76,1574
371,77,482
372,77,753
373,77,969
374,77,1024
375,77,1048
376,78,143
377,78,504
378,78,820
379,78,839
380,78,1125
381,79,1027
382,79,1096
383,79,1387
384,79,1487
385,79,1496
386,80,454
387,80,714
388,80,720
389,80,1039
390,80,1188
391,81,416
392,81,481
393,81,748
394,81,832
395,81,1269
396,82,109
397,82,785
398,82,824
399,82,1095
400,82,1475
401,83,199
402,83,210
403,83,583
404,83,1219
405,83,1492
406,84,589
407,84,625
408,84,890
409,84,1083
410,84,1391
411,85,382
412,85,386
413,85,790
414,85,888
415,86,284
416,86,569
417,86,913
418,86,984
419,86,1056
420,87,99
421,87,276
422,87,528
423,87,681
424,87,1212
425,88,405
426,88,962
427,88,1024
428,88,1192
429,89,99
430,89,1000
431,89,1136
432,90,209
433,90,251
434,90,284
435,90,390
436,90,899
437,91,128
438,91,737
439,91,982
440,91,1082
441,91,1315
442,92,142
443,92,190
444,92,238
445,92,397
446,92,1586
447,93,560
448,93,1124
449,93,1315
450,93,1374
451,93,1388
452,94,430
453,94,481
454,94,677
455,94,762
456,94,952
457,95,336
458,95,487
459,95,885
460,95,1198
461,95,1391
462,96,278
463,96,596
464,96,899
465,96,1121
466,97,134
467,97,291
468,97,795
469,97,1110
470,97,1192
471,98,402
472,98,718
473,98,1168
474,98,1292
475,98,1569
476,99,806
477,99,828
478,99,1131
479,100,607
