edge,from_node,to_node
1,1,36
2,1,71
3,1,76
4,1,77
5,1,91
6,2,34
7,2,45
8,2,46
9,2,78
10,2,85
11,3,50
12,3,58
13,3,65
14,3,67
15,3,77
16,4,6
17,4,23
18,4,31
19,4,60
20,4,70
21,5,21
22,5,30
23,5,34
24,5,51
25,5,90
26,6,11
27,6,34
28,6,56
29,6,83
30,7,23
31,7,50
32,7,92
33,7,94
34,7,95
35,8,20
36,8,24
37,8,30
38,8,66
39,8,74
40,9,19
41,9,45
42,9,46
43,9,68
44,9,77
45,10,32
46,10,36
47,10,59
48,10,71
49,10,97
50,11,51
51,11,68
52,11,72
53,11,73
54,12,20
55,12,28
56,12,37
57,12,47
58,12,59
59,13,23
60,13,62
61,13,69
62,13,80
63,13,99
64,14,16
65,14,27
66,14,48
67,14,91
68,14,96
69,15,26
70,15,39
71,15,49
72,15,56
73,15,87
74,16,26
75,16,55
76,16,67
77,16,84
78,17,39
79,17,54
80,17,57
81,17,68
82,17,69
83,18,20
84,18,21
85,18,53
86,18,69
87,18,82
88,19,29
89,19,45
90,19,63
91,19,98
92,20,57
93,20,67
94,21,46
95,21,66
96,21,73
97,22,35
98,22,42
99,22,65
100,22,76
101,22,90
102,23,25
103,23,52
104,24,31
105,24,44
106,24,64
107,24,84
108,25,31
109,25,32
110,25,62
111,25,67
112,26,42
113,26,49
114,26,88
115,27,54
116,27,69
117,27,70
118,27,93
119,28,38
120,28,46
121,28,81
122,28,93
123,29,53
124,29,61
125,29,86
126,29,98
127,30,32
128,30,38
129,30,89
130,31,48
131,31,62
132,32,51
133,32,87
134,33,41
135,33,47
136,33,57
137,33,71
138,33,87
139,34,73
140,34,79
141,35,40
142,35,55
143,35,84
144,35,100
145,36,37
146,36,89
147,36,98
148,37,89
149,37,95
150,37,97
151,38,60
152,38,72
153,38,100
154,39,45
155,39,76
156,39,90
157,40,53
158,40,65
159,40,84
160,40,86
161,41,51
162,41,53
163,41,92
164,41,97
165,42,44
166,42,56
167,42,95
168,43,53
169,43,64
170,43,68
171,43,88
172,43,94
173,44,64
174,44,75
175,44,83
176,45,99
177,46,98
178,47,54
179,47,58
180,47,66
181,48,50
182,48,65
183,48,88
184,49,74
185,49,91
186,49,100
187,50,51
188,50,96
189,52,79
190,52,87
191,52,90
192,52,93
193,54,61
194,54,100
195,55,63
196,55,78
197,55,91
198,56,58
199,56,78
200,57,85
201,57,100
202,58,80
203,58,88
204,59,61
205,59,70
206,59,98
207,60,63
208,60,73
209,60,75
210,61,80
211,61,83
212,62,66
213,62,85
214,63,70
215,63,99
216,64,72
217,64,92
218,65,85
219,66,75
220,67,77
221,68,82
222,69,86
223,70,92
224,71,84
225,71,96
226,72,76
227,72,80
228,73,80
229,74,75
230,74,87
231,74,96
232,75,81
233,76,89
234,77,94
235,78,86
236,78,88
237,79,82
238,79,94
239,79,96
240,81,82
241,81,95
242,81,99
243,82,89
244,83,86
245,83,93
246,85,92
247,90,97
248,91,93
249,94,99
250,95,97
