edge,from_node,to_node
1,1,145
2,1,228
3,1,504
4,1,1031
5,1,1499
6,2,908
7,2,961
8,2,976
9,2,1272
10,2,1434
11,3,384
12,3,581
13,3,1147
14,3,1396
15,3,1533
16,4,324
17,4,800
18,4,1019
19,4,1080
20,4,1599
21,5,207
22,5,439
23,5,619
24,5,1026
25,5,1512
26,6,327
27,6,576
28,6,738
29,6,1460
30,6,1560
31,7,559
32,7,695
33,7,1101
34,7,1156
35,7,1449
36,8,95
37,8,331
38,8,759
39,8,1188
40,8,1563
41,9,482
42,9,691
43,9,1058
44,9,1244
45,9,1583
46,10,302
47,10,410
48,10,536
49,10,1190
50,10,1498
51,11,267
52,11,371
53,11,933
54,11,1106
55,11,1363
56,12,108
57,12,890
58,12,1075
59,12,1356
60,12,1452
61,13,280
62,13,605
63,13,796
64,13,1167
65,13,1459
66,14,618
67,14,653
68,14,656
69,14,1311
70,14,1549
71,15,578
72,15,690
73,15,913
74,15,1285
75,15,1331
76,16,98
77,16,259
78,16,486
79,16,899
80,16,1562
81,17,506
82,17,538
83,17,569
84,17,1000
85,17,1260
86,18,200
87,18,787
88,18,826
89,18,840
90,18,1488
91,19,184
92,19,529
93,19,933
94,19,1313
95,19,1492
96,20,35
97,20,180
98,20,812
99,20,1003
100,20,1537
101,21,165
102,21,515
103,21,1009
104,21,1025
105,21,1415
106,22,792
107,22,838
108,22,1153
109,22,1225
110,22,1316
111,23,184
112,23,965
113,23,970
114,23,1174
115,23,1555
116,24,681
117,24,859
118,24,963
119,24,1072
120,24,1482
121,25,223
122,25,248
123,25,726
124,25,1115
125,25,1349
126,26,276
127,26,392
128,26,585
129,26,747
130,26,1281
131,27,31
132,27,441
133,27,444
134,27,979
135,27,1493
136,28,364
137,28,964
138,28,1185
139,28,1194
140,28,1572
141,29,45
142,29,881
143,29,920
144,29,1164
145,29,1328
146,30,309
147,30,312
148,30,729
149,30,770
150,30,1039
151,31,277
152,31,367
153,31,772
154,31,1462
155,32,232
156,32,332
157,32,1040
158,32,1045
159,32,1480
160,33,96
161,33,228
162,33,450
163,33,847
164,33,1027
165,34,498
166,34,709
167,34,961
168,34,1046
169,34,1419
170,35,278
171,35,628
172,35,823
173,35,999
174,36,879
175,36,955
176,36,1111
177,36,1303
178,36,1344
179,37,270
180,37,1035
181,37,1086
182,37,1242
183,37,1431
184,38,396
185,38,407
186,38,858
187,38,1057
188,38,1144
189,39,186
190,39,286
191,39,735
192,39,739
193,39,1251
194,40,466
195,40,469
196,40,485
197,40,934
198,40,1150
199,41,64
200,41,398
201,41,492
202,41,634
203,41,1278
204,42,118
205,42,294
206,42,364
207,42,660
208,42,1301
209,43,150
210,43,264
211,43,342
212,43,707
213,43,1358
214,44,288
215,44,753
216,44,1011
217,44,1408
218,44,1443
219,45,120
220,45,1028
221,45,1130
222,45,1514
223,46,681
224,46,997
225,46,1026
226,46,1201
227,46,1461
228,47,501
229,47,674
230,47,726
231,47,830
232,47,1525
233,48,399
234,48,571
235,48,670
236,48,966
237,48,1451
238,49,159
239,49,206
240,49,569
241,49,622
242,49,664
243,50,386
244,50,677
245,50,897
246,50,1281
247,50,1473
248,51,343
249,51,415
250,51,496
251,51,620
252,51,989
253,52,91
254,52,596
255,52,1150
256,52,1204
257,52,1278
258,53,74
259,53,359
260,53,634
261,53,820
262,53,1203
263,54,79
264,54,820
265,54,1381
266,54,1454
267,54,1506
268,55,675
269,55,729
270,55,909
271,55,1078
272,55,1092
273,56,319
274,56,913
275,56,1083
276,56,1223
277,56,1492
278,57,81
279,57,147
280,57,842
281,57,921
282,57,1202
283,58,86
284,58,154
285,58,581
286,58,695
287,58,1537
288,59,96
289,59,654
290,59,772
291,59,1079
292,59,1185
293,60,272
294,60,298
295,60,561
296,60,948
297,60,983
298,61,271
299,61,425
300,61,435
301,61,685
302,61,1556
303,62,289
304,62,830
305,62,1070
306,62,1304
307,62,1405
308,63,432
309,63,562
310,63,719
311,63,981
312,63,1263
313,64,363
314,64,467
315,64,702
316,64,1040
317,65,86
318,65,582
319,65,799
320,65,912
321,65,1251
322,66,446
323,66,916
324,66,1022
325,66,1230
326,66,1434
327,67,283
328,67,348
329,67,888
330,67,1056
331,67,1200
332,68,203
333,68,667
334,68,824
335,68,1184
336,68,1545
337,69,822
338,69,828
339,69,956
340,69,1120
341,69,1596
342,70,100
343,70,335
344,70,484
345,70,660
346,70,1565
347,71,712
348,71,854
349,71,1143
350,71,1407
351,71,1520
352,72,77
353,72,369
354,72,563
355,72,704
356,72,1330
357,73,225
358,73,232
359,73,303
360,73,1025
361,73,1527
362,74,233
363,74,301
364,74,374
365,74,1427
366,75,445
367,75,1128
368,75,1175
369,75,1211
370,75,1336
371,76,577
372,76,680
373,76,683
374,76,878
375,76,935
376,77,181
377,77,236
378,77,1195
379,77,1553
380,78,142
381,78,651
382,78,1361
383,78,1568
384,78,1596
385,79,329
386,79,462
387,79,1382
388,79,1566
389,80,116
390,80,542
391,80,819
392,80,1087
393,80,1282
394,81,394
395,81,1138
396,81,1227
397,81,1257
398,82,87
399,82,93
400,82,601
401,82,645
402,82,1259
403,83,880
404,83,1030
405,83,1046
406,83,1469
407,83,1489
408,84,169
409,84,507
410,84,610
411,84,1268
412,84,1401
413,85,271
414,85,502
415,85,573
416,85,647
417,85,843
418,86,688
419,86,1181
420,86,1200
421,87,135
422,87,329
423,87,425
424,87,916
425,88,686
426,88,714
427,88,779
428,88,1175
429,88,1406
430,89,546
431,89,875
432,89,1134
433,89,1322
434,89,1479
435,90,261
436,90,397
437,90,554
438,90,921
439,90,1504
440,91,959
441,91,1071
442,91,1115
443,91,1412
444,92,368
445,92,850
446,92,873
447,92,1069
448,92,1439
449,93,192
450,93,1005
451,93,1142
452,93,1150
453,94,278
454,94,420
455,94,780
456,94,1022
457,94,1256
458,95,130
459,95,558
460,95,831
461,95,1264
462,96,1157
463,96,1234
464,96,1369
465,97,138
466,97,222
467,97,318
468,97,422
469,97,456
470,98,839
471,98,1165
472,98,1368
473,98,1571
474,99,299
475,99,400
476,99,1009
477,99,1089
478,99,1360
